Zip_Code,Mean,Median
85086,125842,108632
85086,64088,51041
85013,67245,44042
85383,126364,300000
85310,132807,126260
85310,126340,300000
85327,100628,94038
85327,107472,95480
85327,105265,300000
85383,69865,64652
85310,113533,107167
85310,129913,116506
85031,73144,300000
85015,39969,30257
85027,61944,47800
85255,111067,99996
85382,66514,58953
85027,92031,79114
85053,91682,300000
85027,75831,67706
85050,45602,40442
85032,67883,300000
85382,46148,41980
85308,79592,75096
85018,75250,58692
85308,79956,300000
85023,56528,46011
85021,46507,38365
85022,46121,41272
85032,47153,41313
85338,61039,46638
85226,107971,104211
85284,101453,104080
85226,90971,300000
85226,106494,300000
85013,37966,30504
85225,89718,80561
85286,106876,300000
85248,100274,91320
85248,101010,94555
85249,150189,143590
85249,43377,34291
85249,115637,109587
85635,70523,58300
85296,93875,300000
85296,102008,300000
85297,144662,300000
85033,41538,35914
85297,86636,73965
85297,131315,300000
85142,118668,300000
85142,51951,42003
85248,50112,42351
85256,57997,39241
86426,41544,31907
86413,38024,25956
86401,38014,300000
86429,39075,31129
85033,50594,43250
86442,45407,38212
86439,23272,19767
86426,54365,41614
86404,48089,300000
86403,80354,70277
86406,70964,62321
86401,33487,20888
85360,61726,46076
86510,25967,14205
86025,26861,14025
85016,50940,36679
85941,32370,18642
86025,42838,31494
86047,42329,30236
85929,87124,73453
85928,28499,20926
85901,42835,29148
85701,43792,36744
85719,33407,24131
85719,40690,40060
85705,16832,10416
85257,49431,40145
85705,21968,11612
85716,37348,30690
85716,29768,22175
85713,55259,300000
85714,36805,24215
85713,22041,13252
85710,28232,16752
85746,44643,37557
85705,24738,20210
85716,33965,31701
85007,103718,78810
85712,52809,39529
85712,48225,44600
85716,38598,32880
85711,60804,300000
85711,25955,17418
85711,23534,20628
85711,58670,300000
85730,55419,50335
85706,27821,21867
85714,36047,28437
85035,37928,28178
85710,50698,43557
85710,26392,20892
85750,91763,300000
85712,149340,144987
85730,38903,31233
85745,35344,32182
85715,85427,73833
85749,97246,100290
85730,45594,41230
85747,83191,75590
85009,29395,20895
85710,56346,48931
85747,100012,98894
85706,38321,26428
85706,39380,31370
85614,42313,33805
85746,40115,24577
85614,50560,44689
85614,73448,64473
85614,74968,69920
85735,45662,40069
85008,0,0
85709,57062,50459
85745,85348,63976
85653,59197,38001
85653,72556,69798
85705,33448,29833
85705,52069,42933
85741,43737,32963
85704,61264,54665
85741,66023,67794
85704,75453,300000
85003,72305,49042
85737,119168,101458
85739,69910,62350
85741,81505,70960
85716,69447,51499
85739,67618,56205
85750,109667,300000
85750,69800,300000
85321,41515,32087
85634,33274,15683
85140,84727,300000
85031,23976,11471
85142,70991,68451
85132,69660,58200
85207,37067,32267
85220,43857,34169
85219,79561,300000
85273,62379,46632
85132,54166,48180
86004,75790,64776
85009,0,0
85222,40634,28259
85222,75195,64912
85040,61168,44396
85222,69057,53370
85222,45215,39516
85222,49473,43896
85138,55403,50317
85239,58366,59306
85231,36791,23123
85241,58418,300000
85631,51281,41660
85272,31761,24607
85621,59888,50138
85339,87204,81729
85648,62745,44272
85621,41156,27989
86323,48582,41878
86301,59918,52759
86314,51402,28842
86312,47164,41314
86301,34903,27600
86305,70814,64994
86321,86089,76057
86326,44887,31675
85041,75757,62493
86325,65955,300000
86336,84273,300000
86326,64405,300000
85754,34709,22601
85364,29675,27761
85364,48478,35407
85365,29044,26594
85364,42948,39123
85364,86091,60181
85366,45153,38079
85048,89942,81201
85367,105441,300000
85365,37332,28340
85365,109311,108268
85367,81257,300000
85356,49404,38274
85350,60334,48769
85349,34857,31360
85366,0,0
85048,149502,300000
85034,38219,31943
85268,78626,67734
85250,81806,64620
85018,80510,65789
85250,73817,53733
86004,77806,68567
85251,57989,34074
85281,52194,44476
85382,32140,19998
85281,56656,52253
85284,107268,91066
85207,118547,108642
85215,114392,104522
85203,96909,80200
85213,76595,61487
85203,48725,40836
86045,52684,44211
85201,40329,33806
85204,47839,42355
85210,42256,33607
85210,69408,58639
85233,77254,55627
85204,76332,65923
85236,115345,109258
85234,97089,86518
85208,55720,47346
85209,83615,69734
85554,45288,40205
85224,73631,67346
85086,109810,96692
85310,107763,97038
85327,80651,74634
85383,76411,65607
85031,59490,45769
85382,63886,51466
85027,66292,58530
85382,66597,57385
85023,53013,44376
85552,38095,28966
85032,63519,56492
85284,115177,109136
85226,109736,300000
85286,71631,50598
85248,114739,93901
85249,70573,57879
85295,127373,121047
71646,43595,30490
71937,34755,20134
72067,56439,52597
72517,141250,300000
72160,49237,39255
72641,44172,22379
72351,39381,32307
72437,42530,36630
72128,33766,27623
72847,42109,32904
72101,35812,23855
71753,47447,34056
72443,40121,31094
72938,29908,18645
72392,38283,33695
72947,38940,27999
71960,31172,26738
72476,25318,22527
72121,35811,33507
72126,46284,38460
72110,55086,35612
72128,51936,53024
72461,41443,32066
72312,20112,14342
72760,36716,33565
72150,58373,46872
71763,38731,26016
72160,50576,35809
71861,49313,34737
72473,44836,34907
71972,22366,18542
71671,40194,27965
72392,45900,38922
72395,60543,47215
71859,46324,300000
72022,31297,20505
72112,23633,300000
72360,38906,21381
72011,41559,36227
72015,66497,51871
72447,49473,38434
72404,39788,36140
72634,43262,35834
72112,45629,51474
72932,59148,50445
71701,29658,18742
72034,61441,48543
71950,42990,35864
72645,29546,18751
71941,39519,26931
38631,30032,19647
72419,44134,34026
71635,31456,32937
71901,52558,46562
72732,51528,44983
72764,112207,99636
72936,64615,52751
72523,34936,23191
72543,41075,19272
72131,65600,45354
71740,73985,61539
72027,53764,42773
72110,52967,38602
72461,43657,32738
72401,46802,44852
72404,24430,22128
72401,51727,43260
72404,44668,55078
72411,45468,37685
72417,64673,52538
72956,75145,51036
72956,53278,45984
72956,39265,35446
72301,33923,30229
71665,57828,46803
72301,86345,89468
72331,78777,72338
72364,76159,62034
72331,32203,18558
72396,36521,31880
71763,42507,30393
71639,20862,16258
71638,55695,33003
71655,49946,27699
72058,60640,46960
